Lote A e 4 prioritários;CT-0933-22_DNIT_OS_11294620-22;1.1 Relatório de Coordenação da Execução dos Serviços;COORDENAÇÃO DA EXECUÇÃO DOS SERVIÇOS;CT-093-22_CES_1-1-1_JUL-22_E1_RV0;11/08/2022;04/10/2022;54;CGMAB;Aprovado;;;;;;;;;04/10/2022;54;RV0;2022_07
Lote A e 4 prioritários;CT-0933-22_DNIT_OS_11294620-22;1.1 Relatório de Coordenação da Execução dos Serviços;COORDENAÇÃO DA EXECUÇÃO DOS SERVIÇOS;CT-093-22_CES_1-1-1_SET-22_E2_RV0;10/10/2022;10/11/2022;31;CGMAB;Reprovado;22/11/2022;12;PROSUL;Aprovado com ajustes;06/12/2022;14;CGMAB;Aprovado;06/12/2022;57;RV1;2022_09
Lote A e 4 prioritários;CT-0933-22_DNIT_OS_11294620-22;1.1 Relatório de Coordenação da Execução dos Serviços;COORDENAÇÃO DA EXECUÇÃO DOS SERVIÇOS;CT-093-22_CES_1-1-1_NOV-22_E3_RV0;02/12/2022;22/12/2022;20;CGMAB;Reprovado;28/12/2022;6;PROSUL;Aprovado com ajustes;01/02/2023;35;CGMAB;Aprovado;01/02/2023;61;RV1;2022_11
Lote A e 4 prioritários;CT-0933-22_DNIT_OS_11294620-22;1.1 Relatório de Coordenação da Execução dos Serviços;COORDENAÇÃO DA EXECUÇÃO DOS SERVIÇOS;CT-093-22_CES_1-1-1_JAN-23_E4_RV0;07/02/2023;07/03/2023;28;CGMAB;Reprovado;10/03/2023;3;PROSUL;Aprovado com ajustes;31/03/2023;21;CGMAB;Aprovado;31/03/2023;52;RV1;2023_01
BR-242/MT;Ofício no 198539/2022/CEPAM/CGMAB/DPP/DNIT SEDE ;1.1 Relatório de Coordenação Pré-requisito para OSE de execução dos Serviços;"Plano de Trabalho para
ECI/PBAI da BR-242/MT";CT-093-22_BR242MT_PLT_FEV_23_RV0A;01/02/2023;21/03/2023;48;CGMAB;Reprovado;23/05/2023;63;PROSUL;Aprovado com ajustes;01/06/2023;9;CGMAB;Aprovado;01/06/2023;120;Rev 01;PROTOCOLO_0282_2023
BR-319/AM;Ofício nº 205672/2022/CEPAM/CGMAB/DPP/DNIT SEDE;1.1 Relatório de Coordenação Pré-requisito para OSE de execução dos Serviços;"Plano de Trabalho para PBAI
da BR-319/AM";CT-093-22_BR319AM_PLT_FEV_23_RV0A__;01/02/2023;20/03/2023;47;CGMAB;Reprovado;;;;;;;;;;;;PROTOCOLO_0274_2023
BR-230/AM;OS 03.1-093/22 - BR-230/AM;"Pré-requisito para o item
8.1.1 Elaboração da
Avaliação de Potencial
Malarígeno para Obtenção
do Laudo de Avaliação do
Potencial Malarígeno
(LAPM)";"Plano Amostral para
Levantamento Entomológico
da Avaliação do Potencial
Malarígeno da BR-230/AM";CT-093-22_ BR0230AM_OSE-03-1_EMA-8-1-1_Jan-23_E1_RV0A;30/01/2023;15/02/2023;16;CGMAB;Reprovado;;;;;;;;;;;;PROTOCOLO_0987_2023 
BR-230/AM;OS 03.1-093/22 - BR-230/AM;14.1 Relatório de Prestação de Viagem - IF BR230/AM;Relatório de Prestação de Viagens (diárias e deslocamento);CT-093-22_BR230AM_OSE-03-1_VIA-14-1_FEV-23_RV0A;02/02/2023;15/02/2023;13;CGMAB;Reprovado;;;;;;;;;;;;PROTOCOLO_0270_2023
BR-317/AM;OS 04.1-093/22 - BR-317/AM;3.1.1. Plano de Trabalho de Fauna (PTF) – BR-317/AM – RV0;Plano de Trabalho de Fauna;CT-093-22_BR317AM_OSE-04.1_ELF-3-1-1_Mar-23_E1_RV0;20/03/2023;07/07/2023;109;CGMAB;Reprovado;7/7/2023;14;PROSUL;Aprovado com ajustes;;;;;10/7/2023;;Rev 01;PROTOCOLO_1358_2023
Lote A e 4 prioritários;CT-093-22_DNIT_OS_11294620-22;1.1 Relatório de Coordenação da Execução dos Serviços;COORDENAÇÃO DA EXECUÇÃO DOS SERVIÇOS RV0;CT-093-22_CES_1-1-1_MAR-23_E5_RV0;10/04/2023;11/05/2023;31;CGMAB;Reprovado;12/05/2023;1;PROSUL;Aprovado;;;;;23/05/2023;;RV1;PROTOCOLO_ 0688_2023 (SEI 14536271)
